分拣中心,日期,货量
SC37,2023/9/5,1591
SC29,2023/9/5,6730
SC5,2023/9/5,21269
SC23,2023/9/5,1654
SC16,2023/9/5,2196
SC36,2023/9/5,972
SC57,2023/9/5,14231
SC2,2023/9/5,8178
SC12,2023/9/5,4729
SC18,2023/9/5,6721
SC19,2023/9/5,8660
SC58,2023/9/5,840
SC27,2023/9/5,4130
SC1,2023/9/5,39932
SC46,2023/9/5,2354
SC34,2023/9/5,10030
SC14,2023/9/5,1032
SC51,2023/9/5,11268
SC26,2023/9/5,5396
SC32,2023/9/5,3978
SC24,2023/9/5,6736
SC4,2023/9/5,22709
SC28,2023/9/5,1144
SC41,2023/9/5,2142
SC17,2023/9/5,18722
SC40,2023/9/5,3188
SC7,2023/9/5,36986
SC60,2023/9/5,54049
SC10,2023/9/5,25825
SC35,2023/9/5,29100
SC3,2023/9/5,10613
SC30,2023/9/5,4053
SC55,2023/9/5,3963
SC6,2023/9/5,26077
SC22,2023/9/5,6345
SC56,2023/9/5,1752
SC25,2023/9/5,42342
SC48,2023/9/6,722
SC61,2023/9/6,1054
SC63,2023/9/6,1961
SC54,2023/9/6,11481
SC68,2023/9/6,1373
SC44,2023/9/6,15933
SC15,2023/9/6,3787
SC66,2023/9/6,980
SC9,2023/9/6,27234
SC53,2023/9/6,32423
SC38,2023/9/6,4337
SC20,2023/9/6,674
SC39,2023/9/6,2918
SC47,2023/9/6,49331
SC8,2023/9/6,40843
SC43,2023/9/6,3026
SC52,2023/9/6,3485
SC31,2023/9/6,11105
SC21,2023/9/6,2090
SC49,2023/9/6,7017
SC37,2023/9/6,529
SC29,2023/9/6,7403
SC5,2023/9/6,22981
SC23,2023/9/6,1761
SC16,2023/9/6,2235
SC36,2023/9/6,892
SC57,2023/9/6,14947
SC2,2023/9/6,9979
SC12,2023/9/6,4495
SC18,2023/9/6,7474
SC19,2023/9/6,9714
SC58,2023/9/6,983
SC27,2023/9/6,4714
SC1,2023/9/6,43154
SC46,2023/9/6,2347
SC34,2023/9/6,10726
SC14,2023/9/6,1273
SC51,2023/9/6,11841
SC26,2023/9/6,4824
SC32,2023/9/6,4225
SC24,2023/9/6,6687
SC4,2023/9/6,24621
SC28,2023/9/6,1063
SC41,2023/9/6,2083
SC17,2023/9/6,19613
SC40,2023/9/6,3482
SC7,2023/9/6,38076
SC60,2023/9/6,53009
SC10,2023/9/6,26200
SC35,2023/9/6,28006
SC3,2023/9/6,11347
SC30,2023/9/6,4779
SC55,2023/9/6,4070
SC6,2023/9/6,27000
SC22,2023/9/6,6192
SC56,2023/9/6,2238
SC25,2023/9/6,43597
SC48,2023/9/7,824
SC61,2023/9/7,1097
SC63,2023/9/7,2049
SC54,2023/9/7,13550
SC68,2023/9/7,1350
SC44,2023/9/7,16369
SC15,2023/9/7,3758
SC66,2023/9/7,949
SC9,2023/9/7,30018
SC53,2023/9/7,32426
SC38,2023/9/7,4806
SC20,2023/9/7,329
SC39,2023/9/7,3246
SC47,2023/9/7,52790
SC8,2023/9/7,45573
SC43,2023/9/7,6649
SC52,2023/9/7,4493
SC31,2023/9/7,11846
SC21,2023/9/7,2922
SC49,2023/9/7,7704
SC37,2023/9/7,487
SC29,2023/9/7,7480
SC5,2023/9/7,24872
SC23,2023/9/7,1753
SC16,2023/9/7,3261
SC36,2023/9/7,1216
SC57,2023/9/7,15912
SC2,2023/9/7,10154
SC12,2023/9/7,3974
SC18,2023/9/7,6734
SC19,2023/9/7,9281
SC58,2023/9/7,988
SC27,2023/9/7,5274
SC1,2023/9/7,46353
SC46,2023/9/7,2259
SC34,2023/9/7,12207
SC14,2023/9/7,1125
SC51,2023/9/7,12231
SC26,2023/9/7,4852
SC32,2023/9/7,5844
SC24,2023/9/7,7218
SC4,2023/9/7,23217
SC28,2023/9/7,1051
SC41,2023/9/7,2092
SC17,2023/9/7,20547
SC40,2023/9/7,4126
SC7,2023/9/7,41831
SC60,2023/9/7,53175
SC10,2023/9/7,25857
SC35,2023/9/7,30166
SC3,2023/9/7,11600
SC30,2023/9/7,6200
SC55,2023/9/7,4214
SC6,2023/9/7,27679
SC22,2023/9/7,6437
SC56,2023/9/7,3452
SC25,2023/9/7,41395
SC48,2023/9/8,819
SC61,2023/9/8,966
SC63,2023/9/8,2506
SC54,2023/9/8,11434
SC68,2023/9/8,1346
SC44,2023/9/8,15223
SC15,2023/9/8,4519
SC66,2023/9/8,860
SC9,2023/9/8,28026
SC53,2023/9/8,31993
SC38,2023/9/8,4337
SC20,2023/9/8,737
SC39,2023/9/8,2899
SC47,2023/9/8,48569
SC8,2023/9/8,42719
SC43,2023/9/8,4011
SC52,2023/9/8,4476
SC31,2023/9/8,11626
SC21,2023/9/8,3199
SC49,2023/9/8,7637
SC37,2023/9/8,509
SC29,2023/9/8,7020
SC5,2023/9/8,22191
SC23,2023/9/8,1612
SC16,2023/9/8,3170
SC36,2023/9/8,967
SC57,2023/9/8,15499
SC2,2023/9/8,9274
SC12,2023/9/8,4104
SC18,2023/9/8,6797
SC19,2023/9/8,8626
SC58,2023/9/8,979
SC27,2023/9/8,4639
SC1,2023/9/8,42481
SC46,2023/9/8,2016
SC34,2023/9/8,10588
SC14,2023/9/8,1186
SC51,2023/9/8,11996
SC26,2023/9/8,4283
SC32,2023/9/8,4408
SC24,2023/9/8,6658
SC4,2023/9/8,22216
SC28,2023/9/8,1002
SC41,2023/9/8,1808
SC17,2023/9/8,20013
SC40,2023/9/8,3511
SC7,2023/9/8,42452
SC60,2023/9/8,53544
SC10,2023/9/8,25254
SC35,2023/9/8,29552
SC3,2023/9/8,11796
SC30,2023/9/8,6394
SC55,2023/9/8,3903
SC6,2023/9/8,27228
SC22,2023/9/8,5938
SC56,2023/9/8,2181
SC25,2023/9/8,41701
SC48,2023/9/9,824
SC61,2023/9/9,965
SC63,2023/9/9,2316
SC54,2023/9/9,11968
SC68,2023/9/9,1447
SC44,2023/9/9,16889
SC15,2023/9/9,4547
SC66,2023/9/9,1591
SC9,2023/9/9,27703
SC53,2023/9/9,32547
SC38,2023/9/9,4286
SC20,2023/9/9,705
SC39,2023/9/9,2817
SC47,2023/9/9,48310
SC8,2023/9/9,40997
SC43,2023/9/9,4025
SC52,2023/9/9,4294
SC31,2023/9/9,11272
SC21,2023/9/9,2740
SC49,2023/9/9,6976
SC37,2023/9/9,714
SC29,2023/9/9,6401
SC5,2023/9/9,21153
SC23,2023/9/9,1592
SC16,2023/9/9,3162
SC36,2023/9/9,862
SC57,2023/9/9,15121
SC2,2023/9/9,9132
SC12,2023/9/9,3740
SC18,2023/9/9,6017
SC19,2023/9/9,8418
SC58,2023/9/9,785
SC27,2023/9/9,4846
SC1,2023/9/9,41695
SC46,2023/9/9,1993
SC34,2023/9/9,10533
SC14,2023/9/9,1115
SC51,2023/9/9,11255
SC26,2023/9/9,5381
SC32,2023/9/9,3787
SC24,2023/9/9,7218
SC4,2023/9/9,21980
SC28,2023/9/9,1058
SC41,2023/9/9,3073
SC17,2023/9/9,20002
SC40,2023/9/9,3348
SC7,2023/9/9,42532
SC60,2023/9/9,54147
SC10,2023/9/9,25070
SC35,2023/9/9,27041
SC3,2023/9/9,11773
SC30,2023/9/9,5764
SC55,2023/9/9,3786
SC6,2023/9/9,26572
SC22,2023/9/9,6369
SC56,2023/9/9,1894
SC25,2023/9/9,38158
SC48,2023/9/10,734
SC61,2023/9/10,964
SC63,2023/9/10,2200
SC54,2023/9/10,9758
SC68,2023/9/10,1318
SC44,2023/9/10,15361
SC15,2023/9/10,3647
SC66,2023/9/10,957
SC9,2023/9/10,25849
SC53,2023/9/10,31056
SC38,2023/9/10,3559
SC20,2023/9/10,223
SC39,2023/9/10,2327
SC47,2023/9/10,46026
SC8,2023/9/10,37715
SC43,2023/9/10,3872
SC52,2023/9/10,2732
SC31,2023/9/10,10548
SC21,2023/9/10,1957
SC49,2023/9/10,6904
SC37,2023/9/10,2468
SC29,2023/9/10,5989
SC5,2023/9/10,21752
SC23,2023/9/10,1477
SC16,2023/9/10,2371
SC36,2023/9/10,819
SC57,2023/9/10,14027
SC2,2023/9/10,7026
SC12,2023/9/10,3726
SC18,2023/9/10,5986
SC19,2023/9/10,5350
SC58,2023/9/10,765
SC27,2023/9/10,3995
SC1,2023/9/10,39697
SC46,2023/9/10,1713
SC34,2023/9/10,8556
SC14,2023/9/10,1267
SC51,2023/9/10,10982
SC26,2023/9/10,4116
SC32,2023/9/10,3050
SC24,2023/9/10,6455
SC4,2023/9/10,20490
SC28,2023/9/10,1035
SC41,2023/9/10,2042
SC17,2023/9/10,18914
SC40,2023/9/10,2829
SC7,2023/9/10,40328
SC60,2023/9/10,50173
SC10,2023/9/10,23297
SC35,2023/9/10,27175
SC3,2023/9/10,10935
SC30,2023/9/10,4406
SC55,2023/9/10,3485
SC6,2023/9/10,24518
SC22,2023/9/10,5951
SC56,2023/9/10,1519
SC25,2023/9/10,37697
SC48,2023/9/11,753
SC61,2023/9/11,840
SC63,2023/9/11,2224
SC54,2023/9/11,9531
SC68,2023/9/11,1376
SC44,2023/9/11,15341
SC15,2023/9/11,3543
SC66,2023/9/11,988
SC9,2023/9/11,24865
SC53,2023/9/11,30172
SC38,2023/9/11,3863
SC20,2023/9/11,851
SC39,2023/9/11,2685
SC47,2023/9/11,42700
SC8,2023/9/11,36114
SC43,2023/9/11,3049
SC52,2023/9/11,2647
SC31,2023/9/11,10381
SC21,2023/9/11,2008
SC49,2023/9/11,6514
SC37,2023/9/11,1764
SC29,2023/9/11,6316
SC5,2023/9/11,19487
SC23,2023/9/11,1595
SC16,2023/9/11,2275
SC36,2023/9/11,708
SC57,2023/9/11,13479
SC2,2023/9/11,8041
SC12,2023/9/11,3849
SC18,2023/9/11,5820
SC19,2023/9/11,8717
SC58,2023/9/11,1195
SC27,2023/9/11,4332
SC1,2023/9/11,38400
SC46,2023/9/11,1852
SC34,2023/9/11,8501
SC14,2023/9/11,1598
SC51,2023/9/11,10419
SC26,2023/9/11,4253
SC32,2023/9/11,3114
SC24,2023/9/11,6628
SC4,2023/9/11,20035
SC28,2023/9/11,972
SC41,2023/9/11,2271
SC17,2023/9/11,18387
SC40,2023/9/11,3220
SC7,2023/9/11,36068
SC60,2023/9/11,50304
SC10,2023/9/11,22073
SC35,2023/9/11,25833
SC3,2023/9/11,11127
SC30,2023/9/11,3326
SC55,2023/9/11,3605
SC6,2023/9/11,24591
SC22,2023/9/11,6102
SC56,2023/9/11,1477
SC25,2023/9/11,39157
SC48,2023/9/12,715
SC61,2023/9/12,788
SC63,2023/9/12,2244
SC54,2023/9/12,9999
SC68,2023/9/12,1463
SC44,2023/9/12,15697
SC15,2023/9/12,4271
SC66,2023/9/12,962
SC9,2023/9/12,25190
SC53,2023/9/12,30394
SC38,2023/9/12,3904
SC20,2023/9/12,813
SC39,2023/9/12,2691
SC47,2023/9/12,45268
SC8,2023/9/12,40295
SC43,2023/9/12,3000
SC52,2023/9/12,3137
SC31,2023/9/12,10296
SC21,2023/9/12,2386
SC49,2023/9/12,6671
SC37,2023/9/12,1637
SC29,2023/9/12,6646
SC5,2023/9/12,19730
SC23,2023/9/12,1639
SC16,2023/9/12,2443
SC36,2023/9/12,805
SC57,2023/9/12,13695
SC2,2023/9/12,8209
SC12,2023/9/12,4188
SC18,2023/9/12,6228
SC19,2023/9/12,8737
SC58,2023/9/12,1204
SC27,2023/9/12,4228
SC1,2023/9/12,39122
SC46,2023/9/12,2045
SC34,2023/9/12,9079
SC14,2023/9/12,1365
SC51,2023/9/12,10991
SC26,2023/9/12,4479
SC32,2023/9/12,3860
SC24,2023/9/12,6571
SC4,2023/9/12,22126
SC28,2023/9/12,920
SC41,2023/9/12,2190
SC17,2023/9/12,18835
SC40,2023/9/12,3366
SC7,2023/9/12,40436
SC60,2023/9/12,49958
SC10,2023/9/12,24180
SC35,2023/9/12,26725
SC3,2023/9/12,11400
SC30,2023/9/12,4321
SC55,2023/9/12,3631
SC6,2023/9/12,25436
SC22,2023/9/12,6444
SC56,2023/9/12,2023
SC25,2023/9/12,43383
SC48,2023/9/13,706
SC61,2023/9/13,758
SC63,2023/9/13,2233
SC54,2023/9/13,9499
SC68,2023/9/13,1355
SC44,2023/9/13,15412
SC15,2023/9/13,4266
SC66,2023/9/13,942
SC9,2023/9/13,26303
SC53,2023/9/13,33234
SC38,2023/9/13,3979
SC20,2023/9/13,410
SC39,2023/9/13,2792
SC47,2023/9/13,46179
SC8,2023/9/13,39794
SC43,2023/9/13,2867
SC52,2023/9/13,3301
SC31,2023/9/13,10631
SC21,2023/9/13,2044
SC49,2023/9/13,6861
SC37,2023/9/13,1273
SC29,2023/9/13,6671
SC5,2023/9/13,20527
SC23,2023/9/13,1895
SC16,2023/9/13,2316
SC36,2023/9/13,1006
SC57,2023/9/13,14724
SC2,2023/9/13,8080
SC12,2023/9/13,3864
SC18,2023/9/13,6099
SC19,2023/9/13,9493
SC58,2023/9/13,1033
SC27,2023/9/13,4499
SC1,2023/9/13,43296
SC46,2023/9/13,2120
SC34,2023/9/13,9793
SC14,2023/9/13,1322
SC51,2023/9/13,11473
SC26,2023/9/13,4195
SC32,2023/9/13,3725
SC24,2023/9/13,6388
SC4,2023/9/13,21208
SC28,2023/9/13,927
SC41,2023/9/13,2062
SC17,2023/9/13,20525
SC40,2023/9/13,3343
SC7,2023/9/13,40600
SC60,2023/9/13,50290
SC10,2023/9/13,25809
SC35,2023/9/13,29280
SC3,2023/9/13,11465
SC30,2023/9/13,3786
SC55,2023/9/13,3473
SC6,2023/9/13,26855
SC22,2023/9/13,6596
SC56,2023/9/13,2418
SC25,2023/9/13,45108
SC48,2023/9/14,743
SC61,2023/9/14,802
SC63,2023/9/14,2243
SC54,2023/9/14,11373
SC68,2023/9/14,1318
SC44,2023/9/14,15707
SC15,2023/9/14,3830
SC66,2023/9/14,986
SC9,2023/9/14,28898
SC53,2023/9/14,34649
SC38,2023/9/14,4049
SC20,2023/9/14,226
SC39,2023/9/14,2684
SC47,2023/9/14,46619
SC8,2023/9/14,40130
SC43,2023/9/14,2835
SC52,2023/9/14,3188
SC31,2023/9/14,11065
SC21,2023/9/14,2295
SC49,2023/9/14,7105
SC37,2023/9/14,1083
SC29,2023/9/14,6936
SC5,2023/9/14,22477
SC23,2023/9/14,1990
SC16,2023/9/14,2524
SC36,2023/9/14,764
SC57,2023/9/14,15098
SC2,2023/9/14,7997
SC12,2023/9/14,4067
SC18,2023/9/14,6328
SC19,2023/9/14,9015
SC58,2023/9/14,1023
SC27,2023/9/14,4483
SC1,2023/9/14,43579
SC46,2023/9/14,2214
SC34,2023/9/14,11729
SC14,2023/9/14,1486
SC51,2023/9/14,11328
SC26,2023/9/14,4091
SC32,2023/9/14,5148
SC24,2023/9/14,7005
SC4,2023/9/14,22307
SC28,2023/9/14,924
SC41,2023/9/14,2187
SC17,2023/9/14,20135
SC40,2023/9/14,3281
SC7,2023/9/14,38119
SC60,2023/9/14,51953
SC10,2023/9/14,25149
SC35,2023/9/14,27488
SC3,2023/9/14,11481
SC30,2023/9/14,5433
SC55,2023/9/14,3496
SC6,2023/9/14,26190
SC22,2023/9/14,6478
SC56,2023/9/14,2186
SC25,2023/9/14,43405
SC48,2023/9/15,730
SC61,2023/9/15,715
SC63,2023/9/15,2091
SC54,2023/9/15,10084
SC68,2023/9/15,1270
SC44,2023/9/15,16200
SC15,2023/9/15,3960
SC66,2023/9/15,803
SC9,2023/9/15,27571
SC53,2023/9/15,33747
SC38,2023/9/15,4015
SC20,2023/9/15,203
SC39,2023/9/15,2604
SC47,2023/9/15,46948
SC8,2023/9/15,38936
SC43,2023/9/15,2805
SC52,2023/9/15,4703
SC31,2023/9/15,10977
SC21,2023/9/15,3242
SC49,2023/9/15,7555
SC37,2023/9/15,1604
SC29,2023/9/15,6561
SC5,2023/9/15,21583
SC23,2023/9/15,2240
SC16,2023/9/15,3040
SC36,2023/9/15,851
SC57,2023/9/15,14481
SC2,2023/9/15,7832
SC12,2023/9/15,3989
SC18,2023/9/15,6413
SC19,2023/9/15,8359
SC58,2023/9/15,1099
SC27,2023/9/15,4419
SC1,2023/9/15,42150
SC46,2023/9/15,2135
SC34,2023/9/15,9520
SC14,2023/9/15,1475
SC51,2023/9/15,11424
SC26,2023/9/15,4205
SC32,2023/9/15,4577
SC24,2023/9/15,6723
SC4,2023/9/15,21518
SC28,2023/9/15,940
SC41,2023/9/15,2051
SC17,2023/9/15,22065
SC40,2023/9/15,3002
SC7,2023/9/15,39448
SC60,2023/9/15,50490
SC10,2023/9/15,25750
SC35,2023/9/15,27528
SC3,2023/9/15,11560
SC30,2023/9/15,7045
SC55,2023/9/15,3735
SC6,2023/9/15,26521
SC22,2023/9/15,6469
SC56,2023/9/15,1724
SC25,2023/9/15,43379
SC48,2023/9/16,766
SC61,2023/9/16,692
SC63,2023/9/16,2096
SC54,2023/9/16,10132
SC68,2023/9/16,1254
SC44,2023/9/16,15683
SC15,2023/9/16,4234
SC66,2023/9/16,863
SC9,2023/9/16,26674
SC53,2023/9/16,33558
SC38,2023/9/16,4189
SC20,2023/9/16,125
SC39,2023/9/16,2557
SC47,2023/9/16,48699
SC8,2023/9/16,40688
SC43,2023/9/16,2794
SC52,2023/9/16,4356
SC31,2023/9/16,11360
SC21,2023/9/16,2873
SC49,2023/9/16,7662
SC37,2023/9/16,855
SC29,2023/9/16,6379
SC5,2023/9/16,22184
SC23,2023/9/16,2345
SC16,2023/9/16,3150
SC36,2023/9/16,549
SC57,2023/9/16,15123
SC2,2023/9/16,7403
SC12,2023/9/16,3725
SC18,2023/9/16,6494
SC19,2023/9/16,7742
SC58,2023/9/16,1020
SC27,2023/9/16,4462
SC1,2023/9/16,43131
SC46,2023/9/16,1900
SC34,2023/9/16,8903
SC14,2023/9/16,1729
SC51,2023/9/16,11624
SC26,2023/9/16,4520
SC32,2023/9/16,3107
SC24,2023/9/16,6371
SC4,2023/9/16,23133
SC28,2023/9/16,1066
SC41,2023/9/16,1915
SC17,2023/9/16,22476
SC40,2023/9/16,3010
SC7,2023/9/16,43230
SC60,2023/9/16,50071
SC10,2023/9/16,25489
SC35,2023/9/16,25874
SC3,2023/9/16,11132
SC30,2023/9/16,5765
SC55,2023/9/16,3473
SC6,2023/9/16,27145
SC22,2023/9/16,6751
SC56,2023/9/16,1682
SC25,2023/9/16,43946
SC48,2023/9/17,715
SC61,2023/9/17,706
SC63,2023/9/17,2181
SC54,2023/9/17,10045
SC68,2023/9/17,1351
SC44,2023/9/17,14757
SC15,2023/9/17,3918
SC66,2023/9/17,900
SC9,2023/9/17,27136
SC53,2023/9/17,33713
SC38,2023/9/17,3830
SC20,2023/9/17,79
SC39,2023/9/17,2576
SC47,2023/9/17,45847
SC8,2023/9/17,38794
SC43,2023/9/17,2871
SC52,2023/9/17,3116
SC31,2023/9/17,10713
SC21,2023/9/17,2307
SC49,2023/9/17,7128
SC37,2023/9/17,811
SC29,2023/9/17,6559
SC5,2023/9/17,22358
SC23,2023/9/17,2497
SC16,2023/9/17,2571
SC36,2023/9/17,603
SC57,2023/9/17,14767
SC2,2023/9/17,7439
SC12,2023/9/17,3871
SC18,2023/9/17,5802
SC19,2023/9/17,6122
SC58,2023/9/17,826
SC27,2023/9/17,4480
SC1,2023/9/17,40851
SC46,2023/9/17,1796
SC34,2023/9/17,9194
SC14,2023/9/17,1698
SC51,2023/9/17,11171
SC26,2023/9/17,4497
SC32,2023/9/17,3337
SC24,2023/9/17,6405
SC4,2023/9/17,21541
SC28,2023/9/17,1029
SC41,2023/9/17,1896
SC17,2023/9/17,19953
SC40,2023/9/17,3010
SC7,2023/9/17,40884
SC60,2023/9/17,50442
SC10,2023/9/17,24913
SC35,2023/9/17,25768
SC3,2023/9/17,11279
SC30,2023/9/17,4616
SC55,2023/9/17,3316
SC6,2023/9/17,26703
SC22,2023/9/17,6372
SC56,2023/9/17,1776
SC25,2023/9/17,39770
SC48,2023/9/18,751
SC61,2023/9/18,729
SC63,2023/9/18,2332
SC54,2023/9/18,10493
SC68,2023/9/18,1287
SC44,2023/9/18,15465
SC15,2023/9/18,3471
SC66,2023/9/18,950
SC9,2023/9/18,26538
SC53,2023/9/18,31163
SC38,2023/9/18,4047
SC20,2023/9/18,314
SC39,2023/9/18,2657
SC47,2023/9/18,44547
SC8,2023/9/18,38882
SC43,2023/9/18,2973
SC52,2023/9/18,2787
SC31,2023/9/18,10437
SC21,2023/9/18,1910
SC49,2023/9/18,6914
SC37,2023/9/18,746
SC29,2023/9/18,7082
SC5,2023/9/18,20383
SC23,2023/9/18,2662
SC16,2023/9/18,2593
SC36,2023/9/18,621
SC57,2023/9/18,13992
SC2,2023/9/18,7960
SC12,2023/9/18,4039
SC18,2023/9/18,5905
SC19,2023/9/18,8995
SC58,2023/9/18,1240
SC27,2023/9/18,5031
SC1,2023/9/18,41287
SC46,2023/9/18,1912
SC34,2023/9/18,10109
SC14,2023/9/18,1981
SC51,2023/9/18,11107
SC26,2023/9/18,4904
SC32,2023/9/18,3722
SC24,2023/9/18,6834
SC4,2023/9/18,21893
SC28,2023/9/18,1007
SC41,2023/9/18,2051
SC17,2023/9/18,20073
SC40,2023/9/18,3175
SC7,2023/9/18,37538
SC60,2023/9/18,52214
SC10,2023/9/18,24496
SC35,2023/9/18,26520
SC3,2023/9/18,11005
SC30,2023/9/18,3824
SC55,2023/9/18,3548
SC6,2023/9/18,26290
SC22,2023/9/18,6052
SC56,2023/9/18,1874
SC25,2023/9/18,42831
SC48,2023/9/19,706
SC61,2023/9/19,803
SC63,2023/9/19,2255
SC54,2023/9/19,10923
SC68,2023/9/19,1139
SC44,2023/9/19,17064
SC15,2023/9/19,3120
SC66,2023/9/19,879
SC9,2023/9/19,28322
SC53,2023/9/19,33954
SC38,2023/9/19,4261
SC20,2023/9/19,224
SC39,2023/9/19,2786
SC47,2023/9/19,48895
SC8,2023/9/19,43466
SC43,2023/9/19,2918
SC52,2023/9/19,3731
SC31,2023/9/19,11194
SC21,2023/9/19,2961
SC49,2023/9/19,7062
SC37,2023/9/19,873
SC29,2023/9/19,7312
SC5,2023/9/19,21483
SC23,2023/9/19,2698
SC16,2023/9/19,2911
SC36,2023/9/19,563
SC57,2023/9/19,14868
SC2,2023/9/19,8828
SC12,2023/9/19,465
SC18,2023/9/19,6462
SC19,2023/9/19,8361
SC58,2023/9/19,1301
SC27,2023/9/19,5674
SC1,2023/9/19,43304
SC46,2023/9/19,2173
SC34,2023/9/19,11366
SC14,2023/9/19,1730
SC51,2023/9/19,11595
SC26,2023/9/19,4952
SC32,2023/9/19,4256
SC24,2023/9/19,6976
SC4,2023/9/19,22498
SC28,2023/9/19,976
SC41,2023/9/19,1993
SC17,2023/9/19,22419
SC40,2023/9/19,3196
SC7,2023/9/19,37453
SC60,2023/9/19,50803
SC10,2023/9/19,25383
SC35,2023/9/19,26104
SC3,2023/9/19,11118
SC30,2023/9/19,6286
SC55,2023/9/19,3589
SC6,2023/9/19,24218
SC22,2023/9/19,5922
SC56,2023/9/19,1927
SC25,2023/9/19,45437
SC48,2023/9/20,725
SC61,2023/9/20,798
SC63,2023/9/20,2198
SC54,2023/9/20,10623
SC68,2023/9/20,1106
SC44,2023/9/20,16788
SC15,2023/9/20,4566
SC66,2023/9/20,907
SC9,2023/9/20,29824
SC53,2023/9/20,38147
SC38,2023/9/20,4459
SC20,2023/9/20,248
SC39,2023/9/20,2796
SC47,2023/9/20,50640
SC8,2023/9/20,43651
SC43,2023/9/20,2898
SC52,2023/9/20,3937
SC31,2023/9/20,11456
SC21,2023/9/20,2864
SC49,2023/9/20,7423
SC37,2023/9/20,684
SC29,2023/9/20,7192
SC5,2023/9/20,22780
SC23,2023/9/20,2665
SC16,2023/9/20,3428
SC36,2023/9/20,1019
SC57,2023/9/20,15196
SC2,2023/9/20,8152
SC12,2023/9/20,6310
SC18,2023/9/20,6470
SC19,2023/9/20,8726
SC58,2023/9/20,1208
SC27,2023/9/20,5663
SC1,2023/9/20,45579
SC46,2023/9/20,2122
SC34,2023/9/20,10594
SC14,2023/9/20,1716
SC51,2023/9/20,11807
SC26,2023/9/20,5741
SC32,2023/9/20,4533
SC24,2023/9/20,7337
SC4,2023/9/20,23002
SC28,2023/9/20,977
SC41,2023/9/20,1805
SC17,2023/9/20,21544
SC40,2023/9/20,3327
SC7,2023/9/20,39662
SC60,2023/9/20,53704
SC10,2023/9/20,28749
SC35,2023/9/20,28190
SC3,2023/9/20,11535
SC30,2023/9/20,5675
SC55,2023/9/20,3401
SC6,2023/9/20,31141
SC22,2023/9/20,6439
SC56,2023/9/20,2058
SC25,2023/9/20,49246
SC48,2023/9/21,708
SC61,2023/9/21,795
SC63,2023/9/21,2208
SC54,2023/9/21,10770
SC68,2023/9/21,1180
SC44,2023/9/21,17005
SC15,2023/9/21,4481
SC66,2023/9/21,896
SC9,2023/9/21,30611
SC53,2023/9/21,39127
SC38,2023/9/21,4460
SC20,2023/9/21,227
SC39,2023/9/21,2704
SC47,2023/9/21,49759
SC8,2023/9/21,42331
SC43,2023/9/21,3619
SC52,2023/9/21,3700
SC31,2023/9/21,12000
SC21,2023/9/21,2873
SC49,2023/9/21,7829
SC37,2023/9/21,913
SC29,2023/9/21,7318
SC5,2023/9/21,22268
SC23,2023/9/21,2722
SC16,2023/9/21,3292
SC36,2023/9/21,808
SC57,2023/9/21,15959
SC2,2023/9/21,8618
SC12,2023/9/21,4828
SC18,2023/9/21,6385
SC19,2023/9/21,8650
SC58,2023/9/21,1353
SC27,2023/9/21,5394
SC1,2023/9/21,47715
SC46,2023/9/21,2353
SC34,2023/9/21,10655
SC14,2023/9/21,1768
SC51,2023/9/21,11985
SC26,2023/9/21,5242
SC32,2023/9/21,4144
SC24,2023/9/21,7602
SC4,2023/9/21,23037
SC28,2023/9/21,949
SC41,2023/9/21,1748
SC17,2023/9/21,21817
SC40,2023/9/21,3405
SC7,2023/9/21,39487
SC60,2023/9/21,53904
SC10,2023/9/21,29149
SC35,2023/9/21,27958
SC3,2023/9/21,12225
SC30,2023/9/21,5790
SC55,2023/9/21,3365
SC6,2023/9/21,31468
SC22,2023/9/21,6742
SC56,2023/9/21,2103
SC25,2023/9/21,48315
SC48,2023/9/22,713
SC61,2023/9/22,710
SC63,2023/9/22,2025
SC54,2023/9/22,10708
SC68,2023/9/22,1066
SC44,2023/9/22,17139
SC15,2023/9/22,4394
SC66,2023/9/22,834
SC9,2023/9/22,31588
SC53,2023/9/22,37420
SC38,2023/9/22,4258
SC20,2023/9/22,197
SC39,2023/9/22,2704
SC47,2023/9/22,50723
SC8,2023/9/22,41020
SC43,2023/9/22,3123
SC52,2023/9/22,4033
SC31,2023/9/22,12632
SC21,2023/9/22,2904
SC49,2023/9/22,7858
SC37,2023/9/22,533
SC29,2023/9/22,7531
SC5,2023/9/22,23123
SC23,2023/9/22,2766
SC16,2023/9/22,3431
SC36,2023/9/22,930
SC57,2023/9/22,16006
SC2,2023/9/22,8007
SC12,2023/9/22,3924
SC18,2023/9/22,6264
SC19,2023/9/22,13030
SC58,2023/9/22,1287
SC27,2023/9/22,5316
SC1,2023/9/22,47240
SC46,2023/9/22,2559
SC34,2023/9/22,11470
SC14,2023/9/22,1865
SC51,2023/9/22,12509
SC26,2023/9/22,5311
SC32,2023/9/22,4070
SC24,2023/9/22,6895
SC4,2023/9/22,23626
SC28,2023/9/22,1074
SC41,2023/9/22,1692
SC17,2023/9/22,22893
SC40,2023/9/22,3465
SC7,2023/9/22,38524
SC60,2023/9/22,54668
SC10,2023/9/22,28720
SC35,2023/9/22,27420
SC3,2023/9/22,12494
SC30,2023/9/22,6657
SC55,2023/9/22,3297
SC6,2023/9/22,29816
SC22,2023/9/22,6851
SC56,2023/9/22,1825
SC25,2023/9/22,47963
